OutletID,OutletName,Chain,Channel,OperatorName,Sector,Address2,Postcode,Latitude,Longitude,Region,PostcodeArea,PostcodeDistrict,TravelToWorkArea,ActiveTraders,Totalspend,Totaltransactions,TotalUniqueCustomer,month_name,year,spend,transactions,unique_customer
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Jul,2025,144856.14,13217,8367
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Aug,2025,154935.65,13953,8641
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Apr,2024,131561.44,11035,6330
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,May,2024,132716.67,11558,6229
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Jun,2024,136440.86,11308,6218
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Jul,2024,147999.72,11793,6695
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Aug,2024,145240.72,11875,6708
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Sep,2024,132005.02,10859,6123
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Oct,2024,135425.54,11050,6255
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Nov,2024,125209.15,10360,5819
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Dec,2024,133285.63,10609,6104
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Jan,2025,109372.46,9172,5180
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Feb,2025,112387.21,9351,5438
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Mar,2025,126126.43,10461,5882
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Apr,2025,129545.47,10312,6068
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,May,2025,131345.31,10850,6011
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Jun,2025,133354.45,10644,6072
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Jul,2025,143011.73,10860,6235
1003732,McDonalds Inverness - Inshes RP,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,null,IV23TW,57.46864,-4.19131,Scotland,IV,IV2,Inverness,Active,2630157.13,214875,31131,Aug,2025,148945.02,11158,6384
